ratinguser,resort_type,apart_type,ghouse_type,hotels_type,capsule_type,homest_type,camp_type,villas_type,ratingprop,good_label,conve_label,impre_label,superb_label,reviewamount,randomrate,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,cleanaccom,propertyaddress,longitude,latitude,landmarknear,propertyinfo,nameuser,classreviewamount
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jl. Raya Soreang No.10 KM.17 Soreang, Soreang, Bandung, Jawa Barat, Indonesia, 40910",-7.0166924,107.5472021,Sate Building,Sutan Raja Hotel and Convention Centre,Wulan D.,0 - 1000
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,-1,1,"Jalan Krisan No.1,RT 03 RW 010, Kavling Stroberi, Terusan Sersan Bajuri, Cihideung, Parongpong, Lembang, Bandung, Jawa Barat, Indonesia, 40558",-6.8122843,107.596327,Sate Building,Notes from the Mountains,wan y. s.,0 - 1000
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jalan Raya Dago Golf No. 2B, Dago Atas, Bandung, Jawa Barat, Indonesia, 40135",-6.866951,107.6247302,Sate Building,Rumah Kiboku,Umi N.,0 - 1000
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"Jl. Seram No.5, Citarum, kec.Bandung Wetan,Kota Bandung, Jawa Barat, Riau Street, Bandung, Jawa Barat, Indonesia, 40105",-6.9077896,107.6127927,Sate Building,The Summit Siliwangi Hotel,Imelda G.,0 - 1000
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,2,0,3,3,1,"Jl. RE. Martadinata No. 191, Sumurbandung, Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.9115576,107.6279597,Sate Building,Hotel Riau Bandung,Adhitya P.,0 - 1000
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,"Jalan Bengawan No.57, Bandung, Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.9103546,107.628399,Sate Building,ERENHA Guest House,Imelda L.,0 - 1000
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,3,0,5,5,1,"Jalan Ranca kendal Raya No 175 Rt 05 Rw 01 Bandung, Dago Atas, Bandung, Jawa Barat, Indonesia, 40190",-6.872684,107.6278651,Sate Building,Zeva Villa Dago,Dyah l.,0 - 1000
6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,3,0,5,5,1,"Jl. Sawunggaling No. 13 Bandung , Dago, Bandung, Jawa Barat, Indonesia, 40106",-6.9008714,107.6094152,Sate Building,Sawunggaling Hotel,suryo c.,0 - 1000
8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,"jl. dago 462 E - F, Dago Atas, Bandung, Jawa Barat, Indonesia, 40134",-6.8675192,107.6208951,Sate Building,The Regia Dago,Najia A. U.,0 - 1000
8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,3,3,1,"Jalan Dipatiukur No.27, Bandung, Dago, Bandung, Jawa Barat, Indonesia, 40122",-6.8955135,107.6163928,Sate Building,De'Qur Hotel Bandung,Waris S.,0 - 1000
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,4,4,1,"Jl. RE. Martadinata No. 191, Sumurbandung, Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.9115576,107.6279597,Geological Museum,Hotel Riau Bandung,Guest-7hj7z1,0 - 1000
9.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jalan Dipatiukur No 72 - 74, Dago, Bandung, Jawa Barat, Indonesia, 40122",-6.8895435,107.6164508,Geological Museum,Hotel Neo Dipatiukur by ASTON,Frassetiyo,0 - 1000
10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Jalan Bukit Cemara Hijau No. 19 Resort Dago Pakar, Dago, Bandung, Jawa Barat, Indonesia, 40134",-6.8616636,107.6503191,Geological Museum,4 BR City View Villa with a private pool 1,Sih W. W.,0 - 1000
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,2,2,1,"Jalan Lembong No. 44, Braga, Bandung, Jawa Barat, Indonesia, 40110",-6.9178044,107.6121198,Geological Museum,Hotel Istana Bandung,Pingkan N.,0 - 1000
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,"Jalan Tangkuban Perahu No. 168 Cibogo - Cikole Lembang - Bandung, Lembang, Bandung, Jawa Barat, Indonesia, 40390",-6.8091287,107.6464558,Geological Museum,Saung Balibu Hotel,Yudi P.,0 - 1000
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,4,0,7,7,1,"Jl. Raya Lembang No. 272, Lembang, Bandung, Jawa Barat, Indonesia, 40390",-6.811868,107.616338,Geological Museum,Grand Hotel Lembang,Yasinta N.,0 - 1000
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jalan Tangkuban Perahu No 29, Lembang, Bandung, Jawa Barat, Indonesia, 40390",-6.8105882,107.6244453,Geological Museum,Hotel & Banquet Panorama Lembang,Ricky A.,0 - 1000
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,3,1,-2,1,"Jalan Dago pakar Permai II no.53B Resort Dago Pakar, Dago Atas, Bandung, Jawa Barat, Indonesia, 40198",-6.8660319,107.635536,Geological Museum,7 BR Hill View Villa with a private pool 1,Budi A. R.,0 - 1000
8,0,0,0,1,0,0,0,0,7.8,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,"Jl Kolonel Masturi km 9, Lembang, Parongpong, Bandung, Jawa Barat, Indonesia, 40558",-6.8028641,107.5829828,Kawah Putih,Vila Istana Bunga - Arlen,Ria P.,0 - 1000
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jalan Kol Masturi KM 9 Parongpong Cisarua, Lembang, Parongpong, Bandung, Jawa Barat, Indonesia",-6.8028641,107.5829828,Kawah Putih,Villa Istana Bunga - Chamomile,Vicke T. O.,0 - 1000
9.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,"Jalan Dago Pakar Permai II No.53C Resort Dago Pakar , Dago Atas, Bandung, Jawa Barat, Indonesia, 40198",-6.8660319,107.635536,Kawah Putih,6 BR Hill View Villa with a private pool 3,Prianugra N.,0 - 1000
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,3,3,1,"Jl. Ir. H. Djuanda No. 90 Bandung, Dago, Bandung, Jawa Barat, Indonesia, 40122",-6.8638594,107.6262114,Kawah Putih,The Palais Dago Hotel,Afina,0 - 1000
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jl. RE. Martadinata No. 191, Sumurbandung, Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.9115576,107.6279597,Kawah Putih,Hotel Riau Bandung,iwan h.,0 - 1000
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"LLRE Martadinata St No.100, Citarum, Bandung Wetan, Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.9091967,107.6247343,Kawah Putih,Panen Hotel by Tebu Group,Sofian F.,0 - 1000
5.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jl. Seram No.5, Citarum, kec.Bandung Wetan,Kota Bandung, Jawa Barat, Riau Street, Bandung, Jawa Barat, Indonesia, 40105",-6.9077896,107.6127927,"Braga, Asia Afrika",The Summit Siliwangi Hotel,my name i. A.,0 - 1000
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jalan Ir. H. Juanda No. 33, Dago, Bandung, Jawa Barat, Indonesia, 40106",-6.9041809,107.6103882,"Braga, Asia Afrika",Courtyard by Marriott Bandung Dago,emmanuel j.,0 - 1000
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jalan Cilamaya No 1, Riau Street, Bandung, Jawa Barat, Indonesia, 40105",-6.9032993,107.6166768,"Braga, Asia Afrika",Hotel Bumi Asih Gedung Sate Bandung,Novita,0 - 1000
9.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,1,2,1,0,2,3,4,1,1,"Jalan Lembong No. 44, Braga, Bandung, Jawa Barat, Indonesia, 40110",-6.9178044,107.6121198,Taman Hutan Raya Juanda,Hotel Istana Bandung,florastiayu c.,0 - 1000
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,4,4,1,"Jalan Manoko No. 28, RT. 02 / RW. 08, Desa Cikahuripan, Kampung Cisaroni, Kel. Cikahuripan, Lembang, Lembang, Bandung, Jawa Barat, Indonesia",-6.8049347,107.6090419,Taman Hutan Raya Juanda,Bukit Cikahuripan Resort,Wynda,0 - 1000
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jalan Tangkuban Perahu KM.28 No.147, Lembang - Cikole , Lembang, Bandung, Jawa Barat, Indonesia, 40390",-6.7826798,107.6503646,Taman Hutan Raya Juanda,Cikole Jayagiri Hotel & Resort - Lembang,vany p.,0 - 1000
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,2,1,"Jl. Otto Iskandar Dinata No.70, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40180",-6.9178719,107.6033253,Taman Hutan Raya Juanda,Pasar Baru Square Hotel Bandung,Reza P.,0 - 1000
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jalan Kolonel Masturi Km.4 Lembang Asri, Lembang, Bandung, Jawa Barat, Indonesia, 40390",-6.8293023,107.5542432,Taman Hutan Raya Juanda,Runia Lembang,Dyan A. P.,0 - 1000
